COMMAND,SQL,QUERY,XML,WHOLE
GetMyOpenRecsByGrp,36.515,11587.773,14.097,11683.072
GetAllSOFsByProduct,16.09,11883.131,7.238,11910.058
GetAllIssuesByProduct,155.624,1945.305,8.413,2356.324
GetAllSOFsByProduct,29.774,12615.384,67.221,12718.212
GetAllIssuesByProduct,22.971,2241.828,5.912,2273.366
GetRecsIOwn,25.649,8704.926,3.867,8739.811
GetAllSOFsByProduct,112.138,13215.955,6.948,13347.774
GetAllSOFsByProduct,120.886,12200.961,19.29,12477.938
GetAllSOFsByProduct,28.985,13228.972,15.689,13569.859
GetAllSOFsByProduct,5.216,13217.908,3.008,13228.08
GetAllSOFsByProduct,5.017,11757.45,21.827,11786.511
GetAllSOFsByProduct,4.468,10884.19,38.036,10928.58
GetAllSOFsByProduct,4.543,9673.738,1.357,9681.473
GetAllSOFsByProduct,4.808,13299.626,1.837,13308.702
GetAllSOFsByProduct,3.521,10508.17,2.205,10516.283
GetAllSOFsByProduct,4.365,11993.271,1.913,12001.503
GetAllSOFsByProduct,3.826,11241.241,2.834,11250.289
GetAllSOFsByProduct,4.885,11779.496,1.944,11788.938
GetAllSOFsByProduct,32.862,13121.45,3.368,13159.743
GetAllGPSOFsByProduct,6.111,6978.901,1.163,7010.852
GetAllSOFsByProduct,4.448,11892.652,1.907,11900.886
GetMyOpenRecsByGrp,29.422,13035.388,4.118,13072.711
GetMyOpenRecsByGrp,57.803,10282.838,6.436,10502.095
GetMyOpenRecsByGrp,112.066,10372.691,8.273,10601.042
GetMyOpenRecsByGrp,20.741,10306.145,7.017,10340.422
GetMyOpenRecsByGrp,112.004,10447.595,8.782,10582.557
GetMyOpenRecsByGrp,22.793,10091.656,9.114,10130.684
GetMyOpenRecsByGrp,102.262,7987.769,37.567,8227.672
GetMyOpenRecsByGrp,23.686,10289.051,5.941,10320.432
GetAllSOFsByProduct,26.418,13499.804,9.707,14148.646
GetAllSOFsByProduct,7.269,12835.559,44.115,12890.629
GetAllSOFsByProduct,7.053,13876.961,4.417,13892.478
GetAllGPSOFsByProduct,9.68,7541.953,3.138,7563.388
GetAllSOFsByProduct,6.898,47406.185,4.296,47420.667
GetAllSOFsByProduct,35.621,14042.504,6.984,14088.924
GetAllSOFsByProduct,27.372,13858.417,6.972,14035.478
GetMyOpenRecsByGrp,33.469,12365.307,9.793,12426.152
GetMyOpenRecsByGrp,34.695,10859.036,4.828,10900.537
GetAllCAPAsByCustomer,21.883,9271.802,24.959,9334.71
GetAllSOFsByProduct,19.576,15263.199,3.401,15296.46
GetAllCAPAsByCustomer,20.676,7498.697,0.55,7527.665
GetAllCAPAsByCustomer,16.393,7888.708,0.584,7923.663
GetAllIssuesByProduct,70.544,891.069,0.756,972.752
GetAllIssuesByProduct,20.876,70.511,0.877,93.746
GetAllIssuesByProduct,19.604,177.235,0.661,200.609
GetMyOpenRecsByGrp,20.127,11237.569,10.006,11269.188
GetMyOpenRecsByGrp,21.996,9689.152,9.729,9723.057
GetAllGPSOFsByProduct,26.053,6042.904,1.727,6080.985
GetAllGPSOFsByProduct,16.833,5739.893,1.46,5759.417
GetAllTPsByProduct,3.569,1590.406,0.632,1612.072
GetAllTPsByProduct,2.52,1295.512,1.043,1300.196
GetAllSOFsByProdAndSrc,15.026,11602.054,6.04,11659.995
GetAllRMAsByCustomer,2.805,12573.687,6.785,12595.451
GetAllRMAsByCustomer,3.213,11696.049,1.602,11702.52
GetFAMeetingSOF,17.15,2518.099,38.956,2627.76
GetAllGPSOFsByProduct,19.587,4691.491,0.622,4713.144
GetAllGPSOFsByProduct,17.205,7262.684,0.752,7282.644
GetAllGPSOFsByProduct,16.154,6687.966,1.463,6707.088
GetRecsIOwn,16.496,8647.409,1.942,8685.748
GetRecsIOwn,18.466,7230.528,1.937,7252.411
GetAllSOFsByProduct,46.861,298.952,0.72,348.322
GetAllSOFsByProduct,16.479,13731.058,4.905,13754.199
GetAllSOFsByProduct,22.366,13217.728,5.054,13247.024
GetAllSOFsByProduct,3.917,2829.868,0.541,2836.134
GetAllSOFsByProdAndSrc,19.925,11090.407,3.688,11121.862
GetAllSOFsByProdAndSrc,21.32,12155.546,8.783,12187.781
GetAllGPSOFsByProduct,24.02,9483.719,1.006,9510.815
GetAllGPSOFsByProduct,16.928,8536.895,0.618,8556.655
GetAllGPSOFsByProduct,17.675,7342.023,1.569,7440.915
GetMyOpenRecsByGrp,16.829,10604.5,2.259,10625.744
GetMyOpenRecsByGrp,18.7,10979.653,4.344,11004.062
GetAllGPSOFsByProduct,17.411,6929.443,1.49,6950.058
GetAllGPSOFsByProduct,18.069,6763.91,1.834,6784.836
GetAllTPsByProduct,3.181,1917.885,1.184,1923.757
GetAllTPsByProduct,2.897,1703.232,0.427,1707.461
GetAllSOFsByProdAndSrc,16.283,12881.664,6.331,12906.184
GetAllGPSOFsByProduct,20.076,7187.977,0.661,7210.134
GetAllGPSOFsByProduct,16.784,6703.002,0.883,6722.701
GetAllRMAsByCustomer,4.068,13098.949,4.636,13109.217
GetAllRMAsByCustomer,3.574,11665.22,1.628,11671.606
GetFAMeetingSOF,17.131,2935.151,39.349,3014.633
GetAllGPSOFsByProduct,19.431,5204.223,0.793,5226.456
GetAllGPSOFsByProduct,16.373,7482.357,0.646,7500.616
GetAllGPSOFsByProduct,16.003,6788.263,1.63,6808.212
GetAllGPSOFsByProduct,16.308,4180.371,0.571,4198.681
GetAllGPSOFsByProduct,15.27,3615.903,1.216,3633.79
GetAllGPSOFsByProduct,14.739,8194.239,0.657,8211.05
GetAllSOFsByProduct,18.344,12471.007,2.349,12493.247
GetAllSOFsByProduct,15.604,10489.22,5.758,10512.002
GetMyOpenRecs,21.963,14772.621,43.515,14858.269
GetAllGPSOFsByProduct,18.927,7623.956,0.623,7645.455
GetAllGPSOFsByProduct,15.323,6462.713,0.883,6480.162
GetAllSOFsByProduct,77.453,14053.886,7.792,14140.774
GetAllSOFsByProdAndSrc,43.151,12618.644,8.828,12707.955
GetMyOpenRecs,68.055,18639.697,31.267,18740.404
